"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-12-2023-01"
"Annualized Returns",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","0.093","8.763","7.135","6.722","15.623","15.912"
"2012-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.639"
"Volatility",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","18.56","15.02","20.48","17.49","17.55","17.48"
"2012-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.68"
"Tracking Error",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","6.79","7.99","10.03","9","12.92","12.87"
"2012-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","0.97","0.27","0.14","0.23","0.8","0.8"
"2012-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","0.68","0.22","0.09","0.2","0.85","0.85"
"2012-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","1.04","0.95","1.03","1.01","1.01","1.01"
"2012-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","85.25","70.59","75.38","73.06","45.3","45.35"
"2012-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-12-02_to_2023-01-13_Index_7QRank","-19.8953","-19.8953","-34.9843","-34.9843","-34.9843","-34.9843"
"2012-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
