"","2023-01-2022-01","2021-06-2023-01"
"Annualized Returns",,
"2021-06-02_to_2023-01-13_Index_7QRank","-4.017","-0.652"
"2021-06-02_to_2023-01-13_TSX60_Index","-6.482","1.098"
"Volatility",,
"2021-06-02_to_2023-01-13_Index_7QRank","18.72","15.16"
"2021-06-02_to_2023-01-13_TSX60_Index","16.64","14.09"
"Tracking Error",,
"2021-06-02_to_2023-01-13_Index_7QRank","5.59","4.81"
"2021-06-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-06-02_to_2023-01-13_Index_7QRank","0.44","-0.36"
"2021-06-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-06-02_to_2023-01-13_Index_7QRank","0.39","-0.06"
"2021-06-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-06-02_to_2023-01-13_Index_7QRank","1.08","1.02"
"2021-06-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-06-02_to_2023-01-13_Index_7QRank","90.59","89.33"
"2021-06-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-06-02_to_2023-01-13_Index_7QRank","-19.8956","-19.8956"
"2021-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
