"","1 Years","2 Years","3 Years","5 Years","2015-05-2023-01"
"Annualized Returns",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","2.267","8.317","5.873","7.158","10.649"
"2015-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.054"
"Volatility",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","19.36","14.71","19.13","16.84","15.84"
"2015-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.7"
"Tracking Error",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","6.75","7.26","10.18","9.33","9.96"
"2015-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","1.3","0.24","0.02","0.27","0.66"
"2015-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","1","0.11","0.03","0.26","0.6"
"2015-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","1.09","0.95","0.94","0.94","0.97"
"2015-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","87.23","74.68","71.15","69.03","60.11"
"2015-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-05-02_to_2023-01-13_Index_7QRank","-18.6826","-18.6826","-32.2046","-32.2046","-32.2046"
"2015-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
