"","1 Years","2 Years","3 Years","5 Years","2013-08-2023-01"
"Annualized Returns",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","3.692","14.732","6.207","6.609","23.108"
"2013-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.381"
"Volatility",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","18.33","14.76","19.95","18.45","68.53"
"2013-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.96"
"Tracking Error",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","6.73","5.76","6.62","7.34","66.75"
"2013-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","1.51","1.41","0.08","0.26","0.27"
"2013-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","0.89","0.59","0.03","0.13","2.02"
"2013-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","1.03","1.01","1.09","1.15","1.34"
"2013-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","85.07","84.07","89.33","85.34","4.62"
"2013-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-08-02_to_2023-01-13_Index_7QRank","-20.0693","-20.0693","-40.5775","-40.5775","-42.3069"
"2013-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
