"","1 Years","2 Years","3 Years","5 Years","2016-09-2023-01"
"Annualized Returns",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","-2.351","10.329","10.089","14.132","15.701"
"2016-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.564"
"Volatility",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","20.4","16.21","21.44","18.48","16.82"
"2016-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.35"
"Tracking Error",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","6.65","5.66","6.94","7.46","7.57"
"2016-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","0.62","0.66","0.63","1.27","1.34"
"2016-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","0.63","0.22","0.34","0.7","0.78"
"2016-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","1.17","1.14","1.19","1.15","1.13"
"2016-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","90.39","88.57","91.56","84.83","80.64"
"2016-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-09-02_to_2023-01-13_Index_7QRank","-22.0428","-22.0428","-39.1293","-39.1293","-39.1293"
"2016-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
