"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year6";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2016-12-02";"BMO.TO";"89.000000000000";"0.006809669731";"Core";"2017-12-01";"BMO.TO";"99.480003000000";"0.006385376257";"Core";"2018-12-03";"BMO.TO";"99.000000000000";"0.006931982898";"Core";"2019-12-02";"BMO.TO";"100.709999000000";"0.007922884293";"Core";"2020-12-01";"BMO.TO";"96.519997000000";"0.009242682883";"Core";"2021-12-01";"BMO.TO";"132.710007000000";"0.007212416744";"Core";"2022-12-01";"BMO.TO";"133.000000000000";"0.008713974010";"Core"
"2016-12-02";"SU.TO";"42.820000000000";"0.014153680665";"Core";"2017-12-01";"SU.TO";"44.549999000000";"0.014258524433";"Core";"2018-12-03";"SU.TO";"42.930000000000";"0.015985704797";"Core";"2019-12-02";"SU.TO";"41.369999000000";"0.019287253772";"Core";"2020-12-01";"SU.TO";"20.639999000000";"0.043222081753";"Core";"2021-12-01";"SU.TO";"30.540001000000";"0.031341186812";"Core";"2022-12-01";"SU.TO";"43.169998000000";"0.140427263586";"Growth"
"2016-12-02";"OTEX.TO";"41.435001000000";"0.014626779086";"Core";"2017-12-01";"OTEX.TO";"41.160000000000";"0.015432877775";"Core";"2018-12-03";"OTEX.TO";"45.730000000000";"0.015006916836";"Core";"2019-12-02";"OTEX.TO";"57.470001000000";"0.013884003051";"Core";"2020-12-01";"OTEX.TO";"57.419998000000";"0.015536463867";"Core";"2021-12-01";"OTEX.TO";"59.610001000000";"0.016057035070";"Core";"2022-12-01";"OTEX.TO";"39.439999000000";"0.166517036309";"Value"
"2016-12-02";"GIL.TO";"36.480000000000";"0.016613503456";"Core";"2017-12-01";"GIL.TO";"40.560001000000";"0.015661174398";"Core";"2018-12-03";"GIL.TO";"44.540001000000";"0.117099771341";"Growth";"2019-12-02";"GIL.TO";"38.500000000000";"0.020725030370";"Core";"2020-12-01";"GIL.TO";"34.389999000000";"0.025940789477";"Core";"2021-12-01";"GIL.TO";"51.480000000000";"0.161138026359";"Growth";"2022-12-01";"GIL.TO";"39.509998000000";"0.029333297950";"Core"
"2016-12-02";"TRP.TO";"58.660000000000";"0.010331752575";"Core";"2017-12-01";"TRP.TO";"61.660000000000";"0.010301933980";"Core";"2018-12-03";"TRP.TO";"55.380001000000";"0.012391951869";"Core";"2019-12-02";"TRP.TO";"67.150002000000";"0.011882556150";"Core";"2020-12-01";"TRP.TO";"57.599998000000";"0.015487912416";"Core";"2021-12-01";"TRP.TO";"58.410000000000";"0.016386917935";"Core";"2022-12-01";"TRP.TO";"58.779999000000";"0.019716886067";"Core"
"2016-12-02";"TD.TO";"63.320000000000";"0.009571393021";"Core";"2017-12-01";"TD.TO";"73.320000000000";"0.008663628604";"Core";"2018-12-03";"TD.TO";"73.059998000000";"0.009393188143";"Core";"2019-12-02";"TD.TO";"76.239998000000";"0.010465814404";"Core";"2020-12-01";"TD.TO";"70.709999000000";"0.012616373028";"Core";"2021-12-01";"TD.TO";"91.980003000000";"0.010406173574";"Core";"2022-12-01";"TD.TO";"91.839996000000";"0.012619322668";"Core"
"2016-12-02";"CCO.TO";"12.510000000000";"0.290676549669";"Value";"2017-12-01";"CCO.TO";"12.040000000000";"0.290676549669";"Value";"2018-12-03";"CCO.TO";"16.020000000000";"0.290676549669";"Value";"2019-12-02";"CCO.TO";"12.150000000000";"0.065671906933";"Core";"2020-12-01";"CCO.TO";"12.820000000000";"0.069586873960";"Core";"2021-12-01";"CCO.TO";"28.790001000000";"0.288134258729";"Growth";"2022-12-01";"CCO.TO";"31.920000000000";"0.189919946371";"Growth"
"2016-12-02";"WPM.TO";"24.830000000000";"0.146450408231";"Value";"2017-12-01";"WPM.TO";"26.620001000000";"0.146450408231";"Value";"2018-12-03";"WPM.TO";"21.340000000000";"0.146450408231";"Value";"2019-12-02";"WPM.TO";"37.189999000000";"0.128730361500";"Growth";"2020-12-01";"WPM.TO";"53.009998000000";"0.113213078286";"Growth";"2021-12-01";"WPM.TO";"52.000000000000";"0.018406920703";"Core";"2022-12-01";"WPM.TO";"53.889999000000";"0.021506004172";"Core"
"2016-12-02";"SLF.TO";"51.869999000000";"0.064263223397";"Growth";"2017-12-01";"SLF.TO";"51.250000000000";"0.012394482912";"Core";"2018-12-03";"SLF.TO";"49.029999000000";"0.013996865611";"Core";"2019-12-02";"SLF.TO";"60.290001000000";"0.013234593730";"Core";"2020-12-01";"SLF.TO";"57.090000000000";"0.015626269472";"Core";"2021-12-01";"SLF.TO";"67.559998000000";"0.014167553359";"Core";"2022-12-01";"SLF.TO";"63.730000000000";"0.018185447094";"Core"
"2016-12-02";"ABX.TO";"20.809999000000";"0.160179408626";"Growth";"2017-12-01";"ABX.TO";"17.850000000000";"0.035586400517";"Core";"2018-12-03";"ABX.TO";"17.200001000000";"0.039899201571";"Core";"2019-12-02";"ABX.TO";"22.459999000000";"0.213155931817";"Growth";"2020-12-01";"ABX.TO";"30.860001000000";"0.194472613708";"Growth";"2021-12-01";"ABX.TO";"23.580000000000";"0.040592021907";"Core";"2022-12-01";"ABX.TO";"23.010000000000";"0.050367602926";"Core"
