"","1 Years","2 Years","3 Years","2019-12-2023-01"
"Annualized Returns",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","-2.015","7.717","9.46","10.252"
"2019-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","5.968"
"Volatility",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","19.79","15.19","20.8","20.5"
"2019-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","17.06"
"Tracking Error",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","5.32","4.84","6.5","6.45"
"2019-12-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","0.84","0.23","0.58","0.66"
"2019-12-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","0.6","-0.05","0.26","0.22"
"2019-12-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","1.16","1.07","1.15","1.15"
"2019-12-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","93.88","89.78","91.58","91.43"
"2019-12-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-12-02_to_2023-01-13_Index_7QRank","-19.6677","-19.6677","-37.0835","-37.0835"
"2019-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
