"","1 Years","2 Years","3 Years","5 Years","2017-06-2023-01"
"Annualized Returns",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","-0.433","11.64","13.934","12.014","14.03"
"2017-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.272"
"Volatility",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","22.92","17.38","21.76","18.98","18.1"
"2017-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.16"
"Tracking Error",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","9.52","8.05","7.97","7.08","7.12"
"2017-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","0.64","0.63","1.03","1.04","1.23"
"2017-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","0.97","0.33","0.6","0.55","0.63"
"2017-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","1.29","1.15","1.19","1.2","1.19"
"2017-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","85.59","79.05","88.42","88.4","86.54"
"2017-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-06-02_to_2023-01-13_Index_7QRank","-22.8821","-22.8821","-36.6963","-36.6963","-36.6963"
"2017-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
