"","1 Years","2 Years","3 Years","5 Years","2016-02-2023-01"
"Annualized Returns",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","-3.457","6.47","5.963","10.591","19.103"
"2016-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","7.585"
"Volatility",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","17.33","13.8","18.5","20.38","18.81"
"2016-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.96"
"Tracking Error",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","5.34","4.96","5.12","10.66","10.74"
"2016-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","0.57","-0.03","0.05","0.55","1.07"
"2016-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","0.2","-0.06","-0.02","0.45","0.73"
"2016-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","0.99","0.96","1.03","1.18","1.21"
"2016-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","89.46","86.65","92.18","73.98","69.08"
"2016-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-02-02_to_2023-01-13_Index_7QRank","-20.7999","-20.7999","-35.7345","-35.7345","-35.7345"
"2016-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
