"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-05-2023-01"
"Annualized Returns",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","2.032","8.686","6.135","7.251","12.528","12.68"
"2012-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.369"
"Volatility",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","19.53","14.92","19.2","16.83","13.7","13.33"
"2012-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.41"
"Tracking Error",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","7.22","7.47","10.24","9.2","8.84","8.57"
"2012-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","1.18","0.28","0.04","0.28","0.81","0.85"
"2012-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","0.96","0.14","0.05","0.26","0.63","0.64"
"2012-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","1.09","0.96","0.94","0.95","0.9","0.9"
"2012-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","85.56","73.9","70.98","69.81","58.74","59.06"
"2012-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-05-02_to_2023-01-13_Index_7QRank","-18.9923","-18.9923","-32.1601","-32.1601","-32.1601","-32.1601"
"2012-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
