"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-10-2023-01"
"Annualized Returns",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","-1.886","4.284","4.74","7.449","15.958","15.925"
"2012-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.403"
"Volatility",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","17.42","14.5","18.31","15.73","15.71","15.54"
"2012-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.6"
"Tracking Error",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","6.36","8.24","10.87","9.99","12.05","11.9"
"2012-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","0.72","-0.28","-0.09","0.28","0.88","0.88"
"2012-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","0.57","-0.14","-0.07","0.33","0.92","0.92"
"2012-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","0.98","0.89","0.86","0.83","0.87","0.87"
"2012-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","85.24","67.18","65.42","61.46","41.57","41.76"
"2012-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-10-02_to_2023-01-13_Index_7QRank","-20.276","-20.276","-29.9676","-29.9676","-29.9676","-29.9676"
"2012-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
