"","1 Years","2 Years","3 Years","5 Years","2015-06-2023-01"
"Annualized Returns",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","-3.769","3.779","5.862","9.16","13.059"
"2015-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.344"
"Volatility",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","18.65","13.79","19.43","17.27","16.09"
"2015-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.7"
"Tracking Error",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","5.83","5.65","10.08","9.56","10.03"
"2015-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","0.47","-0.5","0.02","0.47","0.87"
"2015-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","0.41","-0.24","0","0.39","0.71"
"2015-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","1.07","0.94","0.96","0.97","0.99"
"2015-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","89.53","82.83","72.37","68.92","60.68"
"2015-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-06-02_to_2023-01-13_Index_7QRank","-19.9019","-19.9019","-31.8671","-31.8671","-31.8671"
"2015-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
