"","1 Years","2 Years","3 Years","5 Years","2013-05-2023-01"
"Annualized Returns",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","-5.141","3.355","2.286","4.49","19.359"
"2013-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.529"
"Volatility",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","18.84","15.41","19.48","17.85","65.34"
"2013-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.85"
"Tracking Error",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","8.41","8.4","10.24","9.31","63.82"
"2013-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","0.16","-0.39","-0.33","-0.02","0.22"
"2013-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","0.12","-0.35","-0.33","0","1.72"
"2013-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","1.01","0.96","0.96","1.02","1.2"
"2013-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","77.89","68.97","71.64","72.34","3.89"
"2013-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-05-02_to_2023-01-13_Index_7QRank","-25.2338","-25.2338","-33.1772","-33.1772","-42.0876"
"2013-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
