"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2021-03-30",-3.08267366365894,0
"2021-03-31",-2.89501980178206,0
"2021-04-01",-1.14265345397323,0
"2021-04-05",-1.23206682595229,0
"2021-04-06",-0.847783368945898,0
"2021-04-07",-0.623759241914223,0
"2021-04-08",-0.725868910103455,0
"2021-04-09",-0.603195041477333,0
"2021-04-12",-1.13936241142905,0
"2021-04-13",-1.24480811989328,0
"2021-04-14",-0.433051939158735,0
"2021-04-15",0,0
"2021-04-16",0,0
"2021-04-19",0,0
"2021-04-20",0,0
"2021-04-21",0,0
"2021-04-22",0,0
"2021-04-23",0,0
"2021-04-26",0,0
"2021-04-27",0,0
"2021-04-28",0,0
"2021-04-29",0,0
"2021-04-30",0,0
"2021-05-03",0,0
"2021-05-04",0,0
"2021-05-05",0,0
"2021-05-06",0,0
"2021-05-07",0,0
"2021-05-10",-1.21537599600849,0
"2021-05-11",-1.75261666287689,0
"2021-05-12",-2.33657945688868,0
"2021-05-13",-2.28249566262863,0
"2021-05-14",-0.383817440384027,0
"2021-05-17",0,0
"2021-05-18",0,0
"2021-05-19",0,0
"2021-05-20",0,0
"2021-05-21",0,0
"2021-05-25",0,0
"2021-05-26",0,0
"2021-05-27",0,0
"2021-05-28",0,0
"2021-05-31",0,0
"2021-06-01",0,0
"2021-06-02",0,0
"2021-06-03",0,0
"2021-06-04",0,0
"2021-06-07",0,0
"2021-06-08",0,0
"2021-06-09",0,0
"2021-06-10",0,0
"2021-06-11",0,0
"2021-06-14",-0.391705226466899,0
"2021-06-15",-0.090115728992346,0
"2021-06-16",-0.676899799001929,0
"2021-06-17",-1.76241828939893,0
"2021-06-18",-2.4544586485007,0
"2021-06-21",-1.19934571639747,0
"2021-06-22",-1.08509240384638,0
"2021-06-23",-1.14090530108002,0
"2021-06-24",-0.58601224645618,0
"2021-06-25",-0.666894487106728,0
"2021-06-28",-1.74675605506962,0
"2021-06-29",-1.58402588290428,0
"2021-06-30",-1.35733725804489,0
"2021-07-02",-0.940366862861008,0
"2021-07-05",-0.404802946073768,0
"2021-07-06",-1.06456299876099,0
"2021-07-07",-1.36213792549448,0
"2021-07-08",-2.64384001723869,-1.30059985303008
"2021-07-09",-1.42394637437898,-0.318379988934503
"2021-07-12",-1.87055364195629,-0.359406896796721
"2021-07-13",-1.99728688750461,-0.063180944699448
"2021-07-14",-3.11082069163408,-0.742612525073372
"2021-07-15",-3.26052814404064,-0.448845391466934
