"","1 Years","2 Years","3 Years","5 Years","2016-01-2023-01"
"Annualized Returns",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","-4.344","5.251","6.795","8.212","15.871"
"2016-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.95"
"Volatility",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","17.98","14.19","18.45","17.57","16.52"
"2016-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.88"
"Tracking Error",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","5.18","4.9","5.75","7.78","8.82"
"2016-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","0.41","-0.28","0.19","0.45","1.01"
"2016-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","0.31","-0.1","0.09","0.3","0.7"
"2016-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","1.04","0.99","1.01","1.06","1.09"
"2016-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","90.88","87.53","90","80.34","71.64"
"2016-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-01-02_to_2023-01-13_Index_7QRank","-20.5568","-20.5568","-34.4452","-34.4452","-34.4452"
"2016-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
