"","1 Years","2 Years","3 Years","5 Years","2017-10-2023-01"
"Annualized Returns",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","4.905","14.91","17.835","15.8","17.424"
"2017-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.302"
"Volatility",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","21.93","16.28","20.54","17.64","17.27"
"2017-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.53"
"Tracking Error",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","10.59","8.3","8.03","7.5","7.44"
"2017-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","1.08","1","1.51","1.48","1.63"
"2017-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","1.38","0.71","0.96","0.89","0.98"
"2017-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","1.17","1.04","1.1","1.08","1.08"
"2017-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","75.87","72.9","84.95","82.01","81.53"
"2017-10-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-10-02_to_2023-01-13_Index_7QRank","-19.9709","-19.9709","-34.7453","-34.7453","-34.7453"
"2017-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
