"","1 Years","2 Years","2020-09-2023-01"
"Annualized Returns",,,
"2020-09-02_to_2023-01-13_Index_7QRank","-1.198","10.172","14.774"
"2020-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","8.535"
"Volatility",,,
"2020-09-02_to_2023-01-13_Index_7QRank","20.4","15.39","16.3"
"2020-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","14.35"
"Tracking Error",,,
"2020-09-02_to_2023-01-13_Index_7QRank","7.91","6.18","6.24"
"2020-09-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-09-02_to_2023-01-13_Index_7QRank","0.67","0.58","1"
"2020-09-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-09-02_to_2023-01-13_Index_7QRank","0.83","0.24","0.52"
"2020-09-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-09-02_to_2023-01-13_Index_7QRank","1.14","1.05","1.05"
"2020-09-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-09-02_to_2023-01-13_Index_7QRank","84.73","83.3","84.94"
"2020-09-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-09-02_to_2023-01-13_Index_7QRank","-20.6822","-20.6822","-20.6822"
"2020-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
