"","2017-06-02_to_2023-01-13_Index_7QRank","2017-06-02_to_2023-01-13_TSX60_Index"
"2017-06-02",0,0
"2017-06-05",0,0
"2017-06-06",0,0
"2017-06-07",0,0
"2017-06-08",0,0
"2017-06-09",0,0
"2017-06-12",0,-0.718886528726304
"2017-06-13",0,-0.839433230787412
"2017-06-14",0,-2.1347410962001
"2017-06-15",0,-2.04269342393375
"2017-06-16",0,-1.79501947999556
"2017-06-19",0,-1.34243012245595
"2017-06-20",0,-2.15665958617891
"2017-06-21",0,-2.15775800708901
"2017-06-22",0,-1.7698157129311
"2017-06-23",0,-1.21202758913785
"2017-06-26",0,-1.16599376736004
"2017-06-27",0,-1.33147587028887
"2017-06-28",0,-0.898608160907877
"2017-06-29",0,-1.82680378687599
"2017-06-30",0,-2.17747965524762
"2017-07-04",0,-2.45802634133171
"2017-07-05",0,-2.20159498704663
"2017-07-06",0,-2.57309092448696
"2017-07-07",0,-2.8667787189137
"2017-07-10",0,-2.41967148027996
"2017-07-11",0,-2.14350849219163
"2017-07-12",0,-2.22898561028666
"2017-07-13",0,-2.2147460810339
"2017-07-14",0,-1.94296679094135
"2017-07-17",0,-2.02077493395495
"2017-07-18",0,-2.1347410962001
"2017-07-19",0,-1.52873229445349
"2017-07-20",0,-1.27996991524985
"2017-07-21",0,-1.82132166797012
"2017-07-24",0,-2.24103828336384
"2017-07-25",0,-1.83008906396165
"2017-07-26",0,-2.20378184322219
"2017-07-27",0,-2.01639123595918
"2017-07-28",0,-2.53035236543945
"2017-07-31",0,-2.33747963927059
"2017-08-01",0,-1.97583953308723
"2017-08-02",0,-1.38407026059337
"2017-08-03",0,-1.75886146076402
"2017-08-04",0,-1.30297684049411
"2017-08-08",0,-1.28435361324559
"2017-08-09",0,-1.55722133860362
"2017-08-10",0,-2.52158496944792
"2017-08-11",0,-2.86459186273813
"2017-08-14",0,-2.14241007128152
"2017-08-15",0,-2.32432854528329
"2017-08-16",0,-2.56651038467099
"2017-08-17",0,-2.87883139199088
"2017-08-18",0,-3.44429847651018
"2017-08-21",0,-3.45197743723623
"2017-08-22",0,-3.26348840906313
"2017-08-23",0,-2.75499941284409
"2017-08-24",0,-2.71445769561679
"2017-08-25",0,-2.86897556073388
"2017-08-28",0,-2.97417432698752
"2017-08-29",0,-2.82733542259648
"2017-08-30",0,-2.57966147865828
"2017-08-31",0,-2.18734547214924
"2017-09-01",0,-2.33199752036473
"2017-09-05",0,-3.11773793993755
"2017-09-06",0,-3.26677368614878
"2017-09-07",0,-3.54731038658823
"2017-09-08",0,-3.63936804449922
"2017-09-11",0,-3.20650033511823
"2017-09-12",0,-2.54788715742249
"2017-09-13",0,-2.69582448272364
"2017-09-14",0,-2.42514361354117
"2017-09-15",0,-2.36268340633505
"2017-09-18",0,-1.88926399408211
"2017-09-19",0,-1.48269847267568
"2017-09-20",0,-0.836137968057116
"2017-09-21",0,-0.353961145457293
"2017-09-22",0,-0.442723540637979
"2017-09-25",0,-0.0164363710729365
"2017-09-26",0,-0.278349844263892
"2017-09-27",0,0
"2017-10-02",0,0
"2017-10-03",0,0
"2017-10-04",0,0
"2017-10-05",0,0
"2017-10-06",0,0
"2017-10-10",0,0
"2017-10-11",0,0
"2017-10-12",0,0
"2017-10-13",0,0
"2017-10-16",0,0
"2017-10-17",0,0
"2017-10-18",0,0
"2017-10-19",0,0
"2017-10-20",0,0
"2017-10-23",0,0
"2017-10-24",0,0
"2017-10-25",0,0
"2017-10-26",0,0
"2017-10-27",0,0
"2017-10-30",0,0
"2017-10-31",0,0
"2017-11-01",0,0
"2017-11-02",0,0
"2017-11-03",0,0
"2017-11-06",0,0
"2017-11-07",0,0
"2017-11-08",0,0
"2017-11-09",0,0
"2017-11-10",0,0
"2017-11-13",0,0
"2017-11-14",0,0
"2017-11-15",0,0
"2017-11-16",0,0
"2017-11-17",0,0
"2017-11-20",0,0
"2017-11-21",0,0
"2017-11-22",0,0
"2017-11-23",0,0
"2017-11-24",0,0
"2017-11-27",0,0
"2017-11-28",0,0
"2017-11-29",0,0
"2017-11-30",0,0
"2017-12-01",0,0
"2017-12-04",0,0
"2017-12-05",0,0
"2017-12-06",0,0
"2017-12-07",0,0
"2017-12-08",0,0
"2017-12-11",0,0
"2017-12-12",0,0
"2017-12-13",0,0
"2017-12-14",0,0
"2017-12-15",0,0
"2017-12-18",0,0
"2017-12-19",0,0
"2017-12-20",0,0
"2017-12-21",0,0
"2017-12-22",0,0
"2017-12-27",0,0
"2017-12-28",0,0
"2017-12-29",0,0
"2018-01-02",0,0
"2018-01-03",0,0
"2018-01-04",0,0
"2018-01-05",0,-0.378721599503973
"2018-01-08",0,-0.634276380915588
"2018-01-09",0,-0.569616139435691
"2018-01-10",0,-1.09202300797312
"2018-01-11",0,-0.788220875419621
"2018-01-12",0,-0.715358864807825
"2018-01-15",0,-0.449535505851362
"2018-01-16",0,-0.833382042053477
"2018-01-17",0,-0.688668044850671
"2018-01-18",0,-0.847756180201387
"2018-01-19",0,-0.486485551279059
"2018-01-22",0,-0.585009653678659
"2018-01-23",0,-0.626065259709452
"2018-01-24",0,-1.18336471733589
"2018-01-25",0,-1.67292710104869
"2018-01-26",0,-1.49536861902129
"2018-01-29",0,-2.28770440711824
"2018-01-30",0,-2.97740118013825
"2018-01-31",0,-3.07181972193478
"2018-02-01",0,-3.60654327228143
"2018-02-02",0,-5.08036471219225
"2018-02-05",0,-6.94213824890827
"2018-02-06",0,-6.73481211448996
"2018-02-07",0,-6.92468727832662
"2018-02-08",0,-8.64277554600917
"2018-02-09",0,-8.73822281597503
"2018-02-12",0,-7.55999238741154
"2018-02-13",0,-7.66672761101731
"2018-02-14",0,-7.10326513644911
"2018-02-15",0,-6.61780831333938
"2018-02-16",0,-6.29348772984476
"2018-02-20",0,-6.41356836342909
"2018-02-21",0,-5.72182348614467
"2018-02-22",0,-5.78956056005832
"2018-02-23",0,-4.9181997444078
"2018-02-26",0,-4.45019389187974
"2018-02-27",0,-4.64416526424519
"2018-02-28",0,-6.20317474865132
"2018-03-01",0,-6.50491942486614
"2018-03-02",0,-6.6373167402597
"2018-03-05",0,-5.60071412439101
"2018-03-06",0,-5.64176973042179
"2018-03-07",0,-6.01946260175641
"2018-03-08",0,-5.66742247013532
"2018-03-09",0,-5.40879085628995
"2018-03-12",0,-5.22097314879196
"2018-03-13",0,-4.89459510895868
"2018-03-14",0,-4.80222467142656
