"","1 Years","2 Years","3 Years","5 Years","2013-06-2023-01"
"Annualized Returns",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","-2.517","6.472","5.134","5.628","20.917"
"2013-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.213"
"Volatility",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","19.11","15.1","19.88","18.34","67.4"
"2013-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.88"
"Tracking Error",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","8.56","7.67","8.63","8.3","65.72"
"2013-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","0.46","-0.02","-0.06","0.11","0.22"
"2013-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","0.42","-0.05","-0.07","0.06","1.94"
"2013-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","1.03","0.97","1.04","1.1","1.29"
"2013-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","77.77","73.06","80.7","79.88","4.34"
"2013-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-06-02_to_2023-01-13_Index_7QRank","-23.6551","-23.6551","-36.9655","-36.9655","-42.4731"
"2013-06-02_to_2023-01-13_TSX60_Index","-17.7765","-17.7765","-35.7265","-35.7265","-35.7265"
