"","1 Years","2 Years","3 Years","5 Years","2013-03-2023-01"
"Annualized Returns",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","-5.111","4.142","3.437","4.317","21.177"
"2013-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.283"
"Volatility",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","17.27","14.53","18.3","17.16","65.17"
"2013-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.8"
"Tracking Error",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","5.72","7.43","9.7","9.03","63.63"
"2013-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","0.24","-0.33","-0.23","-0.04","0.25"
"2013-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","0.08","-0.28","-0.19","-0.02","1.91"
"2013-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","0.98","0.93","0.9","0.98","1.22"
"2013-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","87.86","73.03","71.94","71.83","4.01"
"2013-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-03-02_to_2023-01-13_Index_7QRank","-22.0191","-22.0191","-30.7048","-30.7048","-41.4697"
"2013-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
