"","1 Years","2 Years","3 Years","2019-08-2023-01"
"Annualized Returns",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","1.649","13.818","8.833","10.515"
"2019-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.789"
"Volatility",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","18.67","14.88","20.88","19.71"
"2019-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","16.28"
"Tracking Error",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","5.17","4.44","6.28","6.16"
"2019-08-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","1.57","1.62","0.5","0.6"
"2019-08-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","0.84","0.51","0.24","0.27"
"2019-08-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","1.08","1.06","1.16","1.16"
"2019-08-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","92.06","90.93","92.58","91.81"
"2019-08-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-08-02_to_2023-01-13_Index_7QRank","-19.6449","-19.6449","-41.0403","-41.0403"
"2019-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
