"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2019-08-02";"ABX.TO";"22.330000000000";"0.024879335224";"Core";"2020-08-04";"ABX.TO";"39.709999000000";"0.092845965121";"Growth";"2021-08-03";"ABX.TO";"27.230000000000";"0.024967116668";"Core";"2022-08-02";"ABX.TO";"19.969999000000";"0.212074522896";"Value"
"2019-08-02";"K.TO";"6.050000000000";"0.091827364555";"Core";"2020-08-04";"K.TO";"12.880000000000";"0.286251023457";"Growth";"2021-08-03";"K.TO";"8.160000000000";"0.083315513098";"Core";"2022-08-02";"K.TO";"4.410000000000";"0.960346487562";"Value"
"2019-08-02";"TRI.TO";"88.349998000000";"0.037728731282";"Growth";"2020-08-04";"TRI.TO";"94.709999000000";"0.038928447060";"Growth";"2021-08-03";"TRI.TO";"131.990005000000";"0.034650860274";"Growth";"2022-08-02";"TRI.TO";"142.910004000000";"0.005229693585";"Core"
"2019-08-02";"BNS.TO";"69.570000000000";"0.052269133770";"Value";"2020-08-04";"BNS.TO";"55.230000000000";"0.052269133770";"Value";"2021-08-03";"BNS.TO";"78.180000000000";"0.052269133770";"Value";"2022-08-02";"BNS.TO";"77.400002000000";"0.009656014366";"Core"
"2019-08-02";"RY.TO";"102.199997000000";"0.005435964500";"Core";"2020-08-04";"RY.TO";"92.489998000000";"0.006643805208";"Core";"2021-08-03";"RY.TO";"126.279999000000";"0.005383707573";"Core";"2022-08-02";"RY.TO";"124.230003000000";"0.006016063054";"Core"
"2019-08-02";"CAE.TO";"35.900002000000";"0.092850505505";"Growth";"2020-08-04";"CAE.TO";"19.209999000000";"0.031987796062";"Core";"2021-08-03";"CAE.TO";"38.099998000000";"0.017843953348";"Core";"2022-08-02";"CAE.TO";"33.720001000000";"0.022164161004";"Core"
"2019-08-02";"T.TO";"23.900000000000";"0.023245002325";"Core";"2020-08-04";"T.TO";"23.940001000000";"0.025667732025";"Core";"2021-08-03";"T.TO";"28.139999000000";"0.024159723207";"Core";"2022-08-02";"T.TO";"29.129999000000";"0.025656558766";"Core"
"2019-08-02";"CNR.TO";"122.910004000000";"0.004520019018";"Core";"2020-08-04";"CNR.TO";"129.820007000000";"0.004733365408";"Core";"2021-08-03";"CNR.TO";"135.160004000000";"0.005029998274";"Core";"2022-08-02";"CNR.TO";"160.850006000000";"0.004646412828";"Core"
"2019-08-02";"BCE.TO";"60.970001000000";"0.009111949261";"Core";"2020-08-04";"BCE.TO";"56.880001000000";"0.010803191272";"Core";"2021-08-03";"BCE.TO";"62.580002000000";"0.010863767420";"Core";"2022-08-02";"BCE.TO";"64.080002000000";"0.011663163356";"Core"
"2019-08-02";"SAP.TO";"40.020000000000";"0.090863659080";"Value";"2020-08-04";"SAP.TO";"32.930000000000";"0.090863659080";"Value";"2021-08-03";"SAP.TO";"36.020000000000";"0.090863659080";"Value";"2022-08-02";"SAP.TO";"31.170000000000";"0.135871928462";"Value"
"2019-08-02";"FNV.TO";"118.360001000000";"0.004693777888";"Core";"2020-08-04";"FNV.TO";"217.089996000000";"0.016983339859";"Growth";"2021-08-03";"FNV.TO";"202.100006000000";"0.022630218135";"Growth";"2022-08-02";"FNV.TO";"161.949997000000";"0.026150837225";"Value"
"2019-08-02";"SNC.TO";"17.809999000000";"0.204175398121";"Value";"2020-08-04";"SNC.TO";"22.059999000000";"0.204175398121";"Value";"2021-08-03";"SNC.TO";"33.259998000000";"0.204175398121";"Value";"2022-08-02";"SNC.TO";"23.160000000000";"0.032270100656";"Core"
"2019-08-02";"FM.TO";"10.490000000000";"0.346650489644";"Value";"2020-08-04";"FM.TO";"11.730000000000";"0.346650489644";"Value";"2021-08-03";"FM.TO";"26.309999000000";"0.346650489644";"Value";"2022-08-02";"FM.TO";"21.469999000000";"0.034810226642";"Core"
