"","1 Years","2 Years","3 Years","5 Years","2013-07-2023-01"
"Annualized Returns",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","-4.065","8.272","4.595","5.829","21.901"
"2013-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.727"
"Volatility",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","17.91","14.76","18.94","17.68","64.87"
"2013-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.92"
"Tracking Error",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","8.1","6.75","6.75","7.22","63.19"
"2013-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","0.3","0.25","-0.16","0.16","0.26"
"2013-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","0.14","0.08","-0.12","0.08","1.91"
"2013-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","0.96","0.98","1.02","1.09","1.26"
"2013-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","77.4","78.16","86.95","83.61","4.47"
"2013-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-07-02_to_2023-01-13_Index_7QRank","-22.9901","-22.9901","-37.8847","-37.8847","-41.3898"
"2013-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
