"","1 Years","2 Years","3 Years","5 Years","2013-04-2023-01"
"Annualized Returns",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","-2.925","6.939","3.693","3.686","18.997"
"2013-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.368"
"Volatility",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","17.11","14.29","18.73","16.97","65.48"
"2013-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.81"
"Tracking Error",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","6.22","6.59","7.91","7.33","63.93"
"2013-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","0.57","0.05","-0.25","-0.14","0.21"
"2013-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","0.25","0","-0.15","-0.07","1.76"
"2013-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","0.96","0.94","0.98","1.03","1.22"
"2013-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","85.49","78.02","81.67","81.06","3.99"
"2013-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-04-02_to_2023-01-13_Index_7QRank","-21.2811","-21.2811","-34.5055","-34.5055","-42.1641"
"2013-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
