"","1 Years","2 Years","3 Years","5 Years","10 Years","2013-01-2023-01"
"Annualized Returns",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","-2.02","6.466","5.36","6.506","17.627","17.677"
"2013-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","5.383"
"Volatility",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","18.6","14.87","18.71","20.25","21.78","21.78"
"2013-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.72"
"Tracking Error",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","6.59","6.55","6.48","12.47","17.58","17.58"
"2013-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","0.68","-0.02","-0.05","0.15","0.7","0.7"
"2013-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","0.52","0.03","0","0.2","1.02","1.02"
"2013-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","1.05","0.99","1.01","1.08","1.1","1.1"
"2013-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","86.23","79.7","87.65","61.74","34.58","34.58"
"2013-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2013-01-02_to_2023-01-13_Index_7QRank","-20.7887","-20.7887","-35.3924","-38.7341","-38.7341","-38.7341"
"2013-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
