"","1 Years","2 Years","2020-05-2023-01"
"Annualized Returns",,,
"2020-05-02_to_2023-01-13_Index_7QRank","2.432","13.742","22.065"
"2020-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","12.143"
"Volatility",,,
"2020-05-02_to_2023-01-13_Index_7QRank","23.17","17.49","16.91"
"2020-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","13.68"
"Tracking Error",,,
"2020-05-02_to_2023-01-13_Index_7QRank","10.25","8.26","7.51"
"2020-05-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-05-02_to_2023-01-13_Index_7QRank","0.87","0.86","1.32"
"2020-05-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-05-02_to_2023-01-13_Index_7QRank","1.24","0.51","0.64"
"2020-05-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-05-02_to_2023-01-13_Index_7QRank","1.28","1.16","1.11"
"2020-05-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-05-02_to_2023-01-13_Index_7QRank","82.74","78.13","80.48"
"2020-05-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-05-02_to_2023-01-13_Index_7QRank","-21.8542","-21.8542","-21.8542"
"2020-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
