"","1 Years","2 Years","3 Years","5 Years","2015-08-2023-01"
"Annualized Returns",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","-0.922","8.415","8.783","10.517","14.717"
"2015-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.836"
"Volatility",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","18.45","14.19","20.16","17.42","16.32"
"2015-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.72"
"Tracking Error",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","5.16","5.79","10.45","9.55","10.17"
"2015-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","1.08","0.31","0.3","0.61","0.97"
"2015-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","0.75","0.13","0.24","0.5","0.85"
"2015-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","1.07","0.96","1","0.98","1"
"2015-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","91.72","82.67","72.33","69.45","60.69"
"2015-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-08-02_to_2023-01-13_Index_7QRank","-17.6773","-17.6773","-32.6792","-32.6792","-32.6792"
"2015-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
