"","1 Years","2 Years","3 Years","5 Years","2017-11-2023-01"
"Annualized Returns",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","1.517","14.009","15.063","13.432","15.093"
"2017-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.947"
"Volatility",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","22.35","16.62","20.12","17.52","17.29"
"2017-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.65"
"Tracking Error",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","11.18","8.44","7.89","7.05","6.99"
"2017-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","0.72","0.88","1.19","1.24","1.45"
"2017-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","1.12","0.58","0.74","0.72","0.75"
"2017-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","1.18","1.07","1.07","1.08","1.08"
"2017-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","74.08","73.25","84.57","84.03","83.9"
"2017-11-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-11-02_to_2023-01-13_Index_7QRank","-20.9305","-20.9305","-34.055","-34.055","-34.055"
"2017-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
