"","1 Years","2 Years","3 Years","5 Years","2014-07-2023-01"
"Annualized Returns",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","1.414","13.575","11.092","9.115","11.945"
"2014-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.005"
"Volatility",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","22.69","17.24","20.79","18.28","15.15"
"2014-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.3"
"Tracking Error",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","10.27","8.36","7.73","7.02","7.3"
"2014-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","0.77","0.83","0.7","0.63","1.09"
"2014-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","1.08","0.47","0.42","0.36","0.63"
"2014-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","1.24","1.13","1.12","1.14","1.08"
"2014-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","80.67","76.36","86.83","86.39","76.99"
"2014-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-07-02_to_2023-01-13_Index_7QRank","-23.283","-23.283","-36.0646","-36.0646","-36.0646"
"2014-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
