"","1 Years","2 Years","3 Years","5 Years","2013-02-2023-01"
"Annualized Returns",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","-3.353","7.126","4.099","9.374","18.953"
"2013-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.267"
"Volatility",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","17.3","14.22","18.82","24.16","24.32"
"2013-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.76"
"Tracking Error",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","5.7","6.1","5.79","15.99","19.54"
"2013-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","0.55","0.09","-0.27","0.29","0.7"
"2013-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","0.13","-0.01","-0.15","0.39","1.11"
"2013-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","0.98","0.96","1.04","1.24","1.26"
"2013-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","87.95","80.91","90.36","57.65","36.4"
"2013-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-02-02_to_2023-01-13_Index_7QRank","-21.6158","-21.6158","-36.6216","-36.6216","-36.6216"
"2013-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
