"","1 Years","2 Years","3 Years","5 Years","2014-04-2023-01"
"Annualized Returns",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","6.464","18.299","15.289","10.936","38.304"
"2014-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.487"
"Volatility",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","23.54","18.02","23.66","20.63","36.31"
"2014-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.18"
"Tracking Error",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","12.33","10.05","10.4","9.34","32.87"
"2014-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","1.05","1.16","0.92","0.67","1.03"
"2014-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","1.57","0.93","0.79","0.49","1.54"
"2014-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","1.23","1.12","1.25","1.27","1.3"
"2014-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","72.36","68.2","83.65","82.88","18.32"
"2014-04-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-04-02_to_2023-01-13_Index_7QRank","-22.7556","-22.7556","-38.7472","-38.7472","-44.6307"
"2014-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
