"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-02-2023-01"
"Annualized Returns",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","2.449","13.345","9.849","9.222","14.892","15.102"
"2012-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","4.982"
"Volatility",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","20.6","15.93","18.87","16.69","17.67","17.12"
"2012-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.49"
"Tracking Error",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","9.57","7.91","8.26","7.17","12.93","12.45"
"2012-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","0.93","0.85","0.5","0.63","0.74","0.81"
"2012-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","0.9","0.5","0.35","0.36","0.79","0.83"
"2012-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","1.1","1.03","0.98","1.01","1.03","1.02"
"2012-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","76.75","74.23","80.32","81.23","46.01","46.74"
"2012-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-02-02_to_2023-01-13_Index_7QRank","-19.3676","-19.3676","-32.7502","-32.7502","-32.7502","-32.7502"
"2012-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
