"","1 Years","2 Years","2020-11-2023-01"
"Annualized Returns",,,
"2020-11-02_to_2023-01-13_Index_7QRank","1.358","13.628","21.214"
"2020-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","12.795"
"Volatility",,,
"2020-11-02_to_2023-01-13_Index_7QRank","22.29","16.56","15.87"
"2020-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","12.93"
"Tracking Error",,,
"2020-11-02_to_2023-01-13_Index_7QRank","11.05","8.34","8.11"
"2020-11-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-11-02_to_2023-01-13_Index_7QRank","0.71","0.84","1.04"
"2020-11-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-11-02_to_2023-01-13_Index_7QRank","1.1","0.55","0.65"
"2020-11-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-11-02_to_2023-01-13_Index_7QRank","1.18","1.06","1.06"
"2020-11-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-11-02_to_2023-01-13_Index_7QRank","74.59","73.72","72.99"
"2020-11-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-11-02_to_2023-01-13_Index_7QRank","-20.8315","-20.8315","-20.8315"
"2020-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
