"","1 Years","2 Years","3 Years","2019-09-2023-01"
"Annualized Returns",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","-2.351","10.329","10.089","11.968"
"2019-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.658"
"Volatility",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","20.4","16.21","21.44","20.39"
"2019-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","16.48"
"Tracking Error",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","6.65","5.66","6.94","6.8"
"2019-09-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","0.62","0.66","0.63","0.78"
"2019-09-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","0.63","0.22","0.34","0.34"
"2019-09-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","1.17","1.14","1.19","1.18"
"2019-09-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","90.39","88.57","91.56","90.77"
"2019-09-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-09-02_to_2023-01-13_Index_7QRank","-22.0428","-22.0428","-39.1293","-39.1293"
"2019-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
