"","1 Years","2 Years","2020-10-2023-01"
"Annualized Returns",,,
"2020-10-02_to_2023-01-13_Index_7QRank","2.69","13.437","20.752"
"2020-10-02_to_2023-01-13_TSX60_Index","-6.482","6.606","10.359"
"Volatility",,,
"2020-10-02_to_2023-01-13_Index_7QRank","21.43","15.9","17.08"
"2020-10-02_to_2023-01-13_TSX60_Index","16.64","13.46","14.25"
"Tracking Error",,,
"2020-10-02_to_2023-01-13_Index_7QRank","10.41","7.99","7.92"
"2020-10-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-10-02_to_2023-01-13_Index_7QRank","0.88","0.85","1.31"
"2020-10-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-10-02_to_2023-01-13_Index_7QRank","1.19","0.56","0.72"
"2020-10-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-10-02_to_2023-01-13_Index_7QRank","1.13","1.02","1.06"
"2020-10-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-10-02_to_2023-01-13_Index_7QRank","74.99","73.62","77.89"
"2020-10-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-10-02_to_2023-01-13_Index_7QRank","-20.1781","-20.1781","-20.1781"
"2020-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
