"","1 Years","2 Years","3 Years","5 Years","2017-02-2023-01"
"Annualized Returns",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","-0.501","11.144","12.048","12.203","13.001"
"2017-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.026"
"Volatility",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","21.19","16.48","22.75","19.86","18.39"
"2017-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.79"
"Tracking Error",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","8.59","6.93","8.4","7.74","7.34"
"2017-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","0.7","0.65","0.76","0.97","1.09"
"2017-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","0.8","0.33","0.42","0.53","0.56"
"2017-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","1.18","1.12","1.25","1.26","1.25"
"2017-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","83.93","82.45","89.58","88.27","87.3"
"2017-02-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-02-02_to_2023-01-13_Index_7QRank","-21.8236","-21.8236","-40.0164","-40.0164","-40.0164"
"2017-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
