"","1 Years","2 Years","3 Years","5 Years","2013-09-2023-01"
"Annualized Returns",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","-0.064","11.975","8.797","10.425","26.902"
"2013-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.643"
"Volatility",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","20.36","16.28","21.21","18.46","69.43"
"2013-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.91"
"Tracking Error",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","7.95","6.75","7.34","7.82","67.67"
"2013-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","0.81","0.8","0.42","0.73","0.31"
"2013-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","0.76","0.38","0.25","0.44","2.33"
"2013-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","1.13","1.11","1.16","1.13","1.35"
"2013-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","84.41","82.77","89.46","82.88","4.5"
"2013-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2013-09-02_to_2023-01-13_Index_7QRank","-22.4332","-22.4332","-39.0187","-39.0187","-42.0379"
"2013-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
