"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2020-07-02";"BCE.TO";"56.400002000000";"0.009850275458";"Core";"2021-07-02";"BCE.TO";"61.279999000000";"0.009368878301";"Core";"2022-07-04";"BCE.TO";"63.369999000000";"0.007452664319";"Core"
"2020-07-02";"SAP.TO";"32.330002000000";"0.017183901057";"Core";"2021-07-02";"SAP.TO";"37.240002000000";"0.015416885664";"Core";"2022-07-04";"SAP.TO";"28.080000000000";"0.016818922025";"Core"
"2020-07-02";"FNV.TO";"185.880005000000";"0.017932715966";"Growth";"2021-07-02";"FNV.TO";"182.039993000000";"0.028034125590";"Growth";"2022-07-04";"FNV.TO";"176.800003000000";"0.002671240512";"Core"
"2020-07-02";"SNC.TO";"22.709999000000";"0.160121699537";"Value";"2021-07-02";"SNC.TO";"32.540001000000";"0.160121699537";"Value";"2022-07-04";"SNC.TO";"22.139999000000";"0.160121699537";"Value"
"2020-07-02";"FM.TO";"10.700000000000";"0.339847068819";"Value";"2021-07-02";"FM.TO";"28.309999000000";"0.339847068819";"Value";"2022-07-04";"FM.TO";"24.600000000000";"0.339847068819";"Value"
"2020-07-02";"MFC.TO";"18.410000000000";"0.030176836260";"Core";"2021-07-02";"MFC.TO";"24.400000000000";"0.023529707088";"Core";"2022-07-04";"MFC.TO";"22.730000000000";"0.020777621226";"Core"
"2020-07-02";"CSU.TO";"1551.020020000000";"0.002149123345";"Growth";"2021-07-02";"CSU.TO";"1881.000000000000";"0.002713095176";"Growth";"2022-07-04";"CSU.TO";"1929.989990000000";"0.000244703513";"Core"
"2020-07-02";"FSV.TO";"135.050003000000";"0.004113702652";"Core";"2021-07-02";"FSV.TO";"215.649994000000";"0.023664883692";"Growth";"2022-07-04";"FSV.TO";"155.649994000000";"0.003034213612";"Core"
"2020-07-02";"WN.TO";"99.419998000000";"0.005587965869";"Core";"2021-07-02";"WN.TO";"119.410004000000";"0.004808013012";"Core";"2022-07-04";"WN.TO";"152.610001000000";"0.044356724280";"Growth"
"2020-07-02";"IFC.TO";"129.309998000000";"0.004296307820";"Core";"2021-07-02";"IFC.TO";"169.720001000000";"0.003382776630";"Core";"2022-07-04";"IFC.TO";"182.669998000000";"0.002585401739";"Core"
"2020-07-02";"FTS.TO";"52.410000000000";"0.010600182323";"Core";"2021-07-02";"FTS.TO";"54.759998000000";"0.010484384111";"Core";"2022-07-04";"FTS.TO";"60.689999000000";"0.007781765336";"Core"
"2020-07-02";"ATD.TO";"43.209999000000";"0.077142638521";"Growth";"2021-07-02";"ATD.TO";"47.250000000000";"0.012150790538";"Core";"2022-07-04";"ATD.TO";"51.740002000000";"0.009127856827";"Core"
"2020-07-02";"MG.TO";"60.900002000000";"0.009122422616";"Core";"2021-07-02";"MG.TO";"114.919998000000";"0.044407693308";"Growth";"2022-07-04";"MG.TO";"70.449997000000";"0.006703695537";"Core"
"2020-07-02";"IMO.TO";"21.590000000000";"0.168428144343";"Value";"2021-07-02";"IMO.TO";"38.090000000000";"0.168428144343";"Value";"2022-07-04";"IMO.TO";"61.240002000000";"0.168428144343";"Value"
"2020-07-02";"PPL.TO";"33.430000000000";"0.016618473095";"Core";"2021-07-02";"PPL.TO";"39.650002000000";"0.014479819016";"Core";"2022-07-04";"PPL.TO";"45.750000000000";"0.147962398617";"Growth"
"2020-07-02";"AEM.TO";"85.320000000000";"0.039068604469";"Growth";"2021-07-02";"AEM.TO";"76.050003000000";"0.007549307433";"Core";"2022-07-04";"AEM.TO";"61.650002000000";"0.007660589053";"Core"
"2020-07-02";"ENB.TO";"41.580002000000";"0.013361123830";"Core";"2021-07-02";"ENB.TO";"50.150002000000";"0.011448152145";"Core";"2022-07-04";"ENB.TO";"54.369999000000";"0.008686322221";"Core"
"2020-07-02";"CVE.TO";"6.440000000000";"0.564652738566";"Value";"2021-07-02";"CVE.TO";"11.980000000000";"0.564652738566";"Value";"2022-07-04";"CVE.TO";"24.660000000000";"0.564652738566";"Value"
"2020-07-02";"CNQ.TO";"23.565132000000";"0.154311193180";"Value";"2021-07-02";"CNQ.TO";"44.005878000000";"0.154311193180";"Value";"2022-07-04";"CNQ.TO";"70.372185000000";"0.154311193180";"Value"
"2020-07-02";"MRU.TO";"56.000000000000";"0.059523809524";"Growth";"2021-07-02";"MRU.TO";"59.889999000000";"0.009586322634";"Core";"2022-07-04";"MRU.TO";"69.879997000000";"0.006758376513";"Core"
"2020-07-02";"AQN.TO";"17.620001000000";"0.189178952563";"Growth";"2021-07-02";"AQN.TO";"18.549999000000";"0.030950128512";"Core";"2022-07-04";"AQN.TO";"17.500000000000";"0.026987161741";"Core"
"2020-07-02";"CP.TO";"68.928001000000";"0.008059940046";"Core";"2021-07-02";"CP.TO";"95.550003000000";"0.053410066624";"Growth";"2022-07-04";"CP.TO";"91.919998000000";"0.005137895352";"Core"
"2020-07-02";"BIPC.TO";"40.686668000000";"0.008059940046";"Core";"2021-07-02";"BIPC.TO";"64.666664000000";"0.008878219742";"Core";"2022-07-04";"BIPC.TO";"55.119999000000";"0.008568130244";"Core"
"2020-07-02";"CAR.UN.TO";"48.700001000000";"0.011407711379";"Core";"2021-07-02";"CAR.UN.TO";"58.619999000000";"0.009794009941";"Core";"2022-07-04";"CAR.UN.TO";"44.880001000000";"0.010523068626";"Core"
"2020-07-02";"BAM.A.TO";"44.480000000000";"0.012490007994";"Core";"2021-07-02";"BAM.A.TO";"63.240002000000";"0.009078507824";"Core";"2022-07-04";"BAM.A.TO";"57.009998000000";"0.008284079057";"Core"
"2020-07-02";"CCL.B.TO";"43.709999000000";"0.012710033591";"Core";"2021-07-02";"CCL.B.TO";"68.339996000000";"0.008401007997";"Core";"2022-07-04";"CCL.B.TO";"60.980000000000";"0.007744757797";"Core"
"2020-07-02";"GIB.A.TO";"86.430000000000";"0.006427809274";"Core";"2021-07-02";"GIB.A.TO";"112.809998000000";"0.005089308245";"Core";"2022-07-04";"GIB.A.TO";"101.839996000000";"0.004637424873";"Core"
"2020-07-02";"NA.TO";"61.580002000000";"0.009021687845";"Core";"2021-07-02";"NA.TO";"93.190002000000";"0.054762656043";"Growth";"2022-07-04";"NA.TO";"85.269997000000";"0.005538587394";"Core"
"2020-07-02";"RCI.B.TO";"55.040001000000";"0.010093669067";"Core";"2021-07-02";"RCI.B.TO";"66.269997000000";"0.008663420536";"Core";"2022-07-04";"RCI.B.TO";"62.259998000000";"0.007585533981";"Core"
"2020-07-02";"POW.TO";"23.870001000000";"0.023274215848";"Core";"2021-07-02";"POW.TO";"39.080002000000";"0.014691013909";"Core";"2022-07-04";"POW.TO";"33.270000000000";"0.014195230853";"Core"
"2020-07-02";"SJR.B.TO";"22.540001000000";"0.024647539082";"Core";"2021-07-02";"SJR.B.TO";"35.740002000000";"0.016063928954";"Core";"2022-07-04";"SJR.B.TO";"37.939999000000";"0.178420661970";"Growth"
"2020-07-02";"TECK.B.TO";"14.140000000000";"0.257168574000";"Value";"2021-07-02";"TECK.B.TO";"28.559999000000";"0.257168574000";"Value";"2022-07-04";"TECK.B.TO";"38.340000000000";"0.257168574000";"Value"
