"","1 Years","2 Years","3 Years","5 Years","2016-08-2023-01"
"Annualized Returns",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","0.723","12.412","8.108","10.701","13.827"
"2016-08-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.899"
"Volatility",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","18.59","14.81","20.07","18.09","16.53"
"2016-08-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.26"
"Tracking Error",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","5","4.34","5.53","6.29","7.02"
"2016-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","1.44","1.34","0.44","0.96","1.13"
"2016-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","0.75","0.4","0.17","0.43","0.55"
"2016-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","1.08","1.05","1.12","1.15","1.14"
"2016-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","92.51","91.25","93.33","89.29","82.92"
"2016-08-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-08-02_to_2023-01-13_Index_7QRank","-19.667","-19.667","-39.9605","-39.9605","-39.9605"
"2016-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
