"","1 Years","2 Years","3 Years","5 Years","2017-01-2023-01"
"Annualized Returns",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","-3.371","6.411","9.252","9.338","10.784"
"2017-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.974"
"Volatility",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","20.5","15.44","19.49","17.21","15.89"
"2017-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.69"
"Tracking Error",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","6.83","5.57","6.14","5.85","5.76"
"2017-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","0.46","-0.04","0.58","0.8","1.01"
"2017-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","0.64","-0.1","0.29","0.35","0.42"
"2017-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","1.17","1.07","1.07","1.09","1.08"
"2017-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","89.89","86.77","90.18","88.91","87.23"
"2017-01-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-01-02_to_2023-01-13_Index_7QRank","-20.4542","-20.4542","-33.6328","-33.6328","-33.6328"
"2017-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
