"","1 Years","2 Years","3 Years","5 Years","2014-05-2023-01"
"Annualized Returns",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","4.919","15.43","12.703","10.105","12.148"
"2014-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.302"
"Volatility",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","23.36","17.72","22.23","19.65","16.11"
"2014-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.24"
"Tracking Error",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","10.96","9.17","8.77","8.06","7.97"
"2014-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","1.04","0.96","0.8","0.67","0.98"
"2014-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","1.41","0.65","0.54","0.42","0.62"
"2014-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","1.27","1.13","1.2","1.23","1.15"
"2014-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","79.63","73.02","86.4","85.87","76.68"
"2014-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-05-02_to_2023-01-13_Index_7QRank","-21.9007","-21.9007","-38.5353","-38.5353","-38.5353"
"2014-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
