"","1 Years","2 Years","3 Years","5 Years","2015-09-2023-01"
"Annualized Returns",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","-1.036","6.941","9.195","13.978","18.358"
"2015-09-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.899"
"Volatility",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","18.36","14.17","20.26","17.67","16.26"
"2015-09-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.69"
"Tracking Error",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","5.32","6.12","10.86","11.46","11.16"
"2015-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","1.02","0.05","0.32","0.81","1.12"
"2015-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","0.77","0.09","0.29","0.82","1.04"
"2015-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","1.06","0.95","0.99","0.91","0.93"
"2015-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","90.96","80.7","70.4","57.77","52.58"
"2015-09-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2015-09-02_to_2023-01-13_Index_7QRank","-19.0318","-19.0318","-31.0888","-31.0888","-31.0888"
"2015-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
