"","1 Years","2 Years","3 Years","2019-11-2023-01"
"Annualized Returns",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","-3.894","7.895","7.43","9.075"
"2019-11-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.401"
"Volatility",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","19.39","15.3","20.45","19.87"
"2019-11-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","16.83"
"Tracking Error",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","5.39","4.61","6.11","6.02"
"2019-11-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","0.48","0.28","0.29","0.44"
"2019-11-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","0.42","0.04","0.11","0.12"
"2019-11-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","1.13","1.09","1.14","1.13"
"2019-11-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","92.74","91.11","92.16","91.89"
"2019-11-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-11-02_to_2023-01-13_Index_7QRank","-20.5688","-20.5688","-38.7426","-38.7426"
"2019-11-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
