"","1 Years","2 Years","3 Years","4 Years","2018-06-2023-01"
"Annualized Returns",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","-3.702","3.758","5.93","10.407","8.119"
"2018-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.527"
"Volatility",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","18.64","13.78","18.93","16.84","16.91"
"2018-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.38"
"Tracking Error",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","5.83","5.72","9.67","9.08","8.8"
"2018-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","0.48","-0.5","0.03","0.27","0.29"
"2018-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","0.42","-0.25","0","0.22","0.26"
"2018-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","1.07","0.93","0.94","0.93","0.94"
"2018-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","89.52","82.39","73.43","70.63","72.7"
"2018-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-06-02_to_2023-01-13_Index_7QRank","-19.8464","-19.8464","-31.8419","-31.8419","-31.8419"
"2018-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
