"","1 Years","2 Years","3 Years","5 Years","2014-12-2023-01"
"Annualized Returns",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","3.822","14.477","10.957","8.424","12.449"
"2014-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","4.406"
"Volatility",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","20.97","15.59","18.45","16.14","14.28"
"2014-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","12.49"
"Tracking Error",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","9.01","7.29","8","6.98","7.49"
"2014-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","1.14","1.08","0.66","0.54","1.07"
"2014-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","1.3","0.63","0.45","0.37","0.67"
"2014-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","1.15","1.02","0.96","0.98","0.97"
"2014-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","81.03","77.17","80.76","80.98","72.27"
"2014-12-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2014-12-02_to_2023-01-13_Index_7QRank","-20.5741","-20.5741","-33.1492","-33.1492","-33.1492"
"2014-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
