"","1 Years","2 Years","3 Years","4 Years","2018-07-2023-01"
"Annualized Returns",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","-5.078","2.044","4.707","9.714","7.403"
"2018-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","5.295"
"Volatility",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","17.16","13.29","18.35","16.31","16.51"
"2018-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.52"
"Tracking Error",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","4.6","5.49","9.21","8.75","8.45"
"2018-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","0.31","-0.83","-0.11","0.2","0.25"
"2018-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","0.21","-0.39","-0.1","0.16","0.27"
"2018-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","0.99","0.9","0.92","0.91","0.92"
"2018-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","92.04","83.12","74.63","71.35","73.93"
"2018-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-07-02_to_2023-01-13_Index_7QRank","-20.2273","-20.2273","-32.1101","-32.1101","-32.1101"
"2018-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
