"Date","BTC.USD","SOL.USD","BCH.USD","MATIC.USD","ALGO.USD","LINK.USD","ETH.USD","LTC.USD","ADA.USD","AVAX.USD"
"2021-12-26",92.1906581872703,14852.0503111978,40.0803045207446,14810.1119519021,420.023600155179,109.849306065897,539.682136338923,20.4953702864744,822.575146999189,3848.05237349526
"2021-12-27",92.7521677087848,14897.9435812506,37.5801573956058,14795.1095568548,419.630988678347,89.4690045300348,491.458719435352,22.2435166432125,879.7263343306,3808.88935609555
"2021-12-28",75.7031263626585,11605.9698420186,21.3977340639752,13136.9310655434,312.471121915343,61.4732323961401,420.387036349813,12.1772323869144,693.427447873936,3537.59044728722
"2021-12-29",69.7389384187721,10092.4968868423,21.8052969781807,13288.2920483495,356.681641313837,67.3829306884431,396.026223977849,12.7648129465283,592.540746445744,3421.70548705391
"2021-12-30",63.5803255028521,11150.799599077,20.2695386285324,14003.9481665288,416.833013950522,77.4577678648785,394.113674418521,14.5365728227811,639.195283633993,3387.81693459061
"2021-12-31",59.6679238008452,11171.3811256617,25.5316248940837,14231.6905801622,396.953658244522,73.8366438230367,399.134699440517,17.5028955534905,622.288130454197,3384.82495744846
"2022-01-01",62.3427697301385,9591.085965678,29.9633969736924,14355.3727823939,337.071401480425,74.0576396571757,416.13697793043,19.3828873812729,685.272312517821,3014.96658910949
"2022-01-02",47.3677107306222,9702.99526198052,26.2923608180481,13286.4937247282,310.212673153782,78.6550347185142,394.434089421034,10.4499032585262,676.440484040964,3138.57728601922
"2022-01-03",41.7182721373662,7777.76511829294,3.11861269608153,12078.4831038798,322.977668550289,72.7004319066456,285.581826730653,-7.32189611496637,544.716700407327,3013.93474815603
"2022-01-04",43.5559163851116,6657.84100177981,4.80157643000295,9517.48598358658,281.767221530732,73.3531559023785,264.731413470439,-5.16451072112368,483.576405264235,2775.55029005
"2022-01-05",28.1726675789249,7089.80663512294,-4.33468284741875,8873.20881186905,225.36559115114,75.020859886761,222.760660153573,-14.1906701691276,378.488196535999,2209.25331310715
"2022-01-06",17.2075382774356,7697.53397362764,-11.8474717437384,6306.09079265689,206.40955184182,47.9267520111621,183.18894060901,-19.2366170293883,285.594971949213,1960.41524496917
"2022-01-07",5.55448677527261,5648.73477765204,-14.1269628706335,6123.90375465923,211.412786313558,61.9304730355296,160.526026074443,-22.4787247605107,303.875925061671,1838.24471760235
"2022-01-08",2.29506592504845,4326.03911255271,-15.1454521782552,6188.35186993919,205.075323955679,66.6317266027759,152.571464584302,-24.8975217128068,288.587584302202,1349.97833403196
"2022-01-09",4.1164410399291,4060.21013285945,-34.2924954770499,6212.5294661773,188.340373723372,56.5594016599619,146.49188120675,-26.022415933404,252.539094761437,1135.79933368715
"2022-01-10",9.03321628908466,3822.4058606317,-39.6833209627021,6712.67304593732,196.229690215592,71.6164604730434,144.254779214698,-25.8779510401079,269.980485085029,1183.42317371786
"2022-01-11",20.1570796214502,4410.28937385983,-22.8856313786648,8922.14438830195,246.92424464072,83.3555873342276,197.034837149694,-5.53473729698601,330.220063456107,1278.20433320209
"2022-01-12",29.5556176340989,4098.35041697593,-14.7388464222067,9070.52893829053,275.570670622847,92.4276772477195,223.188285874025,6.86185814987812,354.537060588217,1131.23734693615
"2022-01-13",14.1364565738803,4055.35283634557,-23.840932101261,7426.82740272697,201.223083510447,56.1375386995592,187.271198956562,-7.31564434758467,293.216074793772,955.980117671167
"2022-01-14",9.98376587839899,4358.56360450545,-26.6290909549177,7020.48673509793,205.294854160054,44.6281130355515,171.656063619222,-4.83919148699487,315.896467737986,875.461152115008
"2022-01-15",17.2490642593508,4447.50327752994,-20.5923370600389,6819.77715058505,183.151299219854,21.9370647395335,184.215091123846,2.56511499651176,328.474200905695,894.83688293789
"2022-01-16",19.1710744697787,4189.35778512382,-20.82970383568,7010.05249023438,175.65890397231,26.3856674690877,171.651377342128,1.57194696411913,299.283574128088,616.263288832869
"2022-01-17",18.0470603910503,3564.76993111042,-20.3993618177334,6431.36390358613,130.884999238088,2.91057369103587,161.126436196344,6.48486766736725,319.67160894243,557.068396092794
"2022-01-18",15.6853588656388,3630.38148973196,-25.1497716622194,5803.63908689984,133.006006006006,4.39029067678126,151.656456883362,-6.73922139689568,294.569337798981,577.187032095392
"2022-01-19",15.7320603371269,3628.64869273059,-27.489476214309,6161.85027987944,142.599420041797,4.33601699674373,124.775658774234,-10.7961448855352,263.484830835164,603.147140777592
"2022-01-20",14.4387984302804,3316.21107440209,-28.2814398211385,5576.81058697478,113.868962043862,-7.56009913956644,117.114697432271,-13.0502472973862,235.129224228411,537.054706638526
"2022-01-21",18.2692277212932,3644.01301305184,-24.8761178732296,5839.693749126,123.675139045671,-5.41722324674628,128.066864836153,-12.0965240472017,262.089107666122,482.863712449987
"2022-01-22",6.13374203642326,2714.46272804402,-33.9922959865722,4790.4818199246,85.8437177118883,-26.8240714601883,94.5133366564492,-21.0116205223557,205.144789273894,369.61097697934
"2022-01-23",13.1258856954072,2741.75345993507,-30.056861022126,4657.1685062546,77.3086057620674,-33.1009365656374,105.934883738402,-18.6288923422054,224.719725265664,402.634728939292
"2022-01-24",13.5182198199201,2421.73356287993,-33.5998834619142,4444.03050305935,62.9643499234181,-36.9109749998978,75.3618751670166,-22.5376853715977,201.400188198858,404.477178929261
"2022-01-25",14.1739964283764,2460.02265957582,-32.6343594754378,4625.99308629996,66.4660983399821,-34.0388904543014,85.4354895665448,-21.3743637154159,203.465101806994,455.465161224614
"2022-01-26",13.1479621073125,2178.97377296256,-32.2613742199634,3569.40728782288,54.0776434372413,-33.6808164940086,81.8662195750269,-20.3873913229839,213.463225596542,442.153827069825
"2022-01-27",22.0345918714698,2328.67847309927,-23.4160864591989,3683.23588134626,72.4232398605918,-27.9535110027086,93.347119138234,-13.010187738018,233.311933052255,478.435245628508
"2022-01-28",12.9033101480411,2289.09410916383,-26.7847074961781,4217.64116013576,70.4784850142649,-30.235157838705,91.1524933457996,-18.0198949503209,203.530186722291,459.381680578854
"2022-01-29",11.1369329186513,2409.29903856284,-26.6579186147245,4108.26774585992,51.0188002184258,-28.8385862427565,87.8511273940796,-17.9160321609455,204.359565795634,520.565800330193
"2022-01-30",10.6452549058643,2108.60748682141,-29.9900573118022,3920.86412022542,42.4024393183407,-24.690544573398,89.1895406112208,-18.4409007302727,186.10552673743,467.184650336408
"2022-01-31",16.2128023199905,2239.01195644425,-28.5740982498313,4194.57666083231,46.304940667764,-23.709638464329,104.433993051331,-15.4225439160621,205.105567443128,417.836469961716
"2022-02-01",15.5233633595034,2284.83245084897,-30.4023653691674,3930.61134623382,50.2988586490284,-25.4616512815744,103.947007625728,-12.5423965931231,170.779761860345,455.262255089104
"2022-02-02",4.06275293743869,1833.31649425117,-35.2343512387456,3653.0973882141,41.7120198082911,-33.2906911616256,77.0634314255338,-23.8240622793946,141.38727076085,402.25488705365
"2022-02-03",-0.847266011374707,1675.00377012556,-37.0622915406722,3436.46774340725,25.7230364697085,-35.4760576641822,61.3069540392659,-29.1269428205519,139.33937471681,360.030351807684
"2022-02-04",12.38910352297,1645.61334191297,-27.2887731017289,3471.14495110567,40.9015612588444,-28.7911055170419,87.0865755359295,-16.6933914223789,157.481334358158,403.063167479136
"2022-02-05",8.64311240791131,1604.56562082817,-28.1280886032211,3030.27918271952,20.2414292496487,-32.4717424679929,75.4078288869278,-21.2689745182147,109.592767079279,331.228959306733
"2022-02-06",8.01309258886996,1786.81722397713,-28.9807488530339,3220.13700721291,26.2668878296634,-27.9842854080329,82.2261764515972,-18.1545013302113,82.2857971032958,338.124004194254
"2022-02-07",12.6899923800536,1651.44834021171,-22.9963488214038,2885.04183791136,26.6306920382467,-23.8535584396704,94.6733129050598,-9.28455600353144,80.5244874388982,243.563384381277
"2022-02-08",-4.49822197005167,1340.97272064187,-30.483532028211,2634.20609530224,1.57608249299678,-27.6151745463622,78.7804059514437,-19.8708299122968,72.7034436075023,186.121422037112
"2022-02-09",-4.60898804446204,1358.64651910317,-32.6559654529508,1966.15689606344,0.872288796006273,-32.4396979584308,83.2235769486455,-23.0310478731808,69.8340904826614,184.886201367985
"2022-02-10",-3.01229970746355,1070.63822568559,-30.9385277897678,1520.19125589663,-4.8949219544807,-34.7509806178768,76.4365090264971,-25.8466616655613,23.8800066213918,64.8078354852341
"2022-02-11",-11.4829288946051,945.883890273535,-39.4883720549175,1287.11037043629,-26.6831610676657,-41.9382175778862,64.1095901928634,-31.6889490103964,16.4492029564286,72.5405184626264
"2022-02-12",-11.0733591200128,937.288639833062,-42.9995808774342,1301.85510545809,-46.4042783796536,-47.9405832868457,58.2485063772344,-35.7691107522495,14.3273403796726,66.9791428965623
"2022-02-13",-10.41916203417,967.787947375624,-49.5431831872095,1395.7644424541,-46.0554173067536,-53.8564419928955,58.9464584152366,-44.2136078886926,15.4683737450578,78.6896876681715
"2022-02-14",-12.583563683259,1003.49491514718,-54.2365699518836,1543.72287509166,-38.8477078878222,-52.1185271839223,62.5120399791499,-41.7992348999873,23.7910749287793,112.618640617417
"2022-02-15",-7.02857722531122,1083.43934525718,-51.836579179111,1631.19743506343,-28.1815442856752,-46.8322852322378,78.6657629133689,-36.5552893700948,28.6376961064422,142.747491637657
"2022-02-16",-10.6463931765032,1128.42290675423,-52.5850938257559,1588.26997245179,-25.4029605764019,-46.2863191620055,75.6154704534908,-39.1294557778833,24.5742871872241,162.400699580238
"2022-02-17",-22.265037401355,1036.02369427492,-56.3531519029455,1376.44804847621,-34.5008730987007,-51.7241450933847,55.8856918127464,-50.9217692106248,14.4766084496924,137.837154214032
"2022-02-18",-22.5403755749572,902.905644392955,-55.9514139596479,1199.87127680375,-35.9864464766479,-53.0466106154051,43.7832543780338,-49.2232040497739,9.07912427156639,104.40519076259
"2022-02-19",-28.2098824373906,698.00645458222,-56.7127571411367,953.884655127874,-34.5253157419527,-55.2888690576839,40.9933072489449,-51.110800372205,7.55177874389991,119.602888737835
"2022-02-20",-31.4942815423522,808.772033130374,-55.5638484822082,937.677042188923,-35.5782395241389,-57.0531188410328,36.9420056416629,-51.3082797931963,-16.9245866719859,113.437836667065
"2022-02-21",-35.5660123618095,649.83594354181,-59.8150474500499,768.281664098613,-39.9802318363753,-60.3600911669166,32.9724495699469,-54.4734953258255,-22.015410896667,93.6178604985087
"2022-02-22",-29.3711123831033,498.178284907039,-53.4107365716944,863.43936054735,-29.1159945825506,-55.5134746634767,48.1094165065482,-48.3328756836946,-19.1178464105478,131.030156797951
"2022-02-23",-23.6108367555775,458.514447682859,-43.6252015535737,952.789314258604,-21.2559937107296,-48.0348342655755,64.9696251979756,-40.1102114827858,-8.9597982212381,167.383423559682
"2022-02-24",-22.8802870663999,415.495886539841,-42.9246874584129,798.381208539531,-26.8422931337655,-52.7633415364984,59.7261759508757,-42.5342609802461,-18.8494918019849,155.625384570674
"2022-02-25",-16.7317655096844,570.228214881658,-37.9248969787264,780.155977727198,-15.008058327331,-41.8739310817756,87.3367654653256,-38.923874678986,-16.7812357522268,202.296311693114
"2022-02-26",-15.6121072112326,563.393835754806,-35.0829910306621,695.004249693078,-11.5599318841206,-41.6757158653644,92.3269031219273,-36.4760349390652,-28.4574633089062,215.652685968016
