"Date","UNTR.JK","INDF.JK","INKP.JK","BRPT.JK","ADRO.JK","INCO.JK","SMGR.JK","BNLI.JK","CPIN.JK","MDKA.JK","BMRI.JK","MYOR.JK","TBIG.JK","GGRM.JK","TPIA.JK","ICBP.JK","BYAN.JK","BBNI.JK","AMRT.JK","ASII.JK","EMTK.JK","HMSP.JK","TOWR.JK","MEGA.JK","BBRI.JK","DNET.JK","TLKM.JK","BBCA.JK","UNVR.JK","ISAT.JK"
"2016-12-09",10.5454545454545,9.15254237288136,3.76344086021505,410.380604128883,69.6969696969697,-3.35766423357664,-36.9491525423729,-62.7118468483474,-16.2913907284768,NA,-6.99152542372881,60.4627766599598,-41.2568306010929,24.0389069013432,565.841629003454,24.4288224956063,-19.7368421052632,-18.2835820895522,11.7021276595745,-1.57232704402516,-28.6885245901639,60.0869347674741,-9.54773869346734,32.5,-11.2185686653772,21.505376344086,34.46519524618,2.26086956521739,10.5333333333333,52.4908869987849
"2016-12-13",8.18291215403129,10.9215017064846,3.80434782608696,393.079571765714,75.2577319587629,-1.36570561456753,-34.622144112478,-62.2525249231911,-14.5945945945946,NA,-9.03361344537815,47.0588235294118,-43.010752688172,26.6098484848485,568.333317147322,22.3931623931624,-20.2614379084967,-18.8888888888889,12.9032258064516,-0.317460317460317,-27.348643006263,60.0263077460038,-10.0502512562814,10.4166666666667,-8.03921568627451,17.6470588235294,34.3485617597293,4.25531914893617,2.13166144200627,51.9370460048426
"2016-12-14",7.46089049338147,8.87372013651877,5.43478260869565,400.000017373885,74.2268041237113,-1.66919575113809,-34.622144112478,-61.2230466729358,-14.8648648648649,NA,-8.61344537815126,47.0588235294118,-44.6236559139785,26.9412878787879,574.166676570695,22.0512820512821,-20.2614379084967,-18.8888888888889,12.9032258064516,-1.26984126984127,-27.348643006263,58.820079295657,-12.5628140703518,10.4166666666667,-9.80392156862745,16.5775401069519,32.6565143824027,4.60992907801418,0.438871473354232,51.9370460048426
"2016-12-15",8.5439229843562,8.87372013651877,4.34782608695652,406.920407385624,72.1649484536082,-1.36570561456753,-36.9068541300527,-61.5662061370315,-14.0540540540541,NA,-9.2436974789916,48.4375,-44.6236559139785,25.5681818181818,575.833338370239,18.974358974359,-17.6470588235294,-20,10.752688172043,-1.58730158730159,-27.348643006263,60.8304600462349,-9.54773869346734,10.4166666666667,-10.5882352941176,17.6470588235294,32.3181049069374,4.78723404255319,0.689655172413793,50.1210653753027
"2016-12-16",6.41646489104116,5.4421768707483,4.89130434782609,408.680552783032,75.6613756613757,-3.7147102526003,-36.2847222222222,-61.5820925610741,-10.2209944751381,NA,-10.4166666666667,45.7581227436823,-43.5261707988981,25.5747126436782,578.333331409122,15,-18.1818181818182,-22.7436823104693,20,-5.01567398119122,-27.348643006263,60.3445685481741,-9.54773869346734,6,-12.5968992248062,20.3208556149733,28.4033613445378,4.59363957597173,1.01073910296905,50
"2016-12-19",-1.74621653084983,4.05405405405405,4.32432432432432,441.818190781384,74.7422680412371,-9.06389301634472,-36.8055555555556,-61.922074622512,-14.7896879240163,NA,-11.2704918032787,42.9203539823009,-42.3076923076923,21.7722725107194,580.833325127139,12.1212121212121,-21.25,-22.5,14.8936170212766,-5.27950310559006,-24.3478260869565,55.2613959593144,-10,6,-13.7931034482759,20.3208556149733,28.8135593220339,3.33333333333333,4.04699738903394,41.852286049238
"2016-12-20",-3.27102803738318,2.69360269360269,2.68817204301075,429.090931996869,78.9473684210526,-15.1693667157585,-35.3260869565217,-62.2620566135917,-12.9120879120879,NA,-11.4754098360656,42.1654929577465,-43.9024390243902,21.2223291626564,582.499986926683,8.27814569536424,-23.75,-22.3021582733813,9.21843687374749,-6.79012345679012,-26.5822784810127,55.6574709490065,-7.5,6,-12.984496124031,16.5775401069519,27.7397260273973,3.1413612565445,3.52480417754569,45.369284876905
"2016-12-21",-5.8411214953271,-0.673400673400673,2.68817204301075,407.272766777209,75.7894736842105,-16.9366715758468,-33.8768115942029,-62.2620566135917,-16.7582417582418,NA,-11.8852459016393,41.7253521126761,-45.2574525745258,19.3455245428296,579.9999938878,4.96688741721854,-23.75,-23.021582733813,7.21442885771543,-4.93827160493827,-26.5822784810127,48.1320461448561,-10,6,-14.7286821705426,16.5775401069519,29.4520547945205,2.44328097731239,0.522193211488251,43.6107854630715
"2016-12-22",-8.76168224299065,-2.35690235690236,2.68817204301075,409.090913738495,76.8421052631579,-20.4712812960236,-35.3260869565217,-62.9420206661093,-20.3296703296703,NA,-11.8852459016393,41.7253521126761,-45.9078590785908,17.1318575553417,575.833338370239,2.98013245033113,-23.75,-23.7410071942446,9.21843687374749,-7.09876543209876,-26.5822784810127,43.7752212582427,-10,6,-15.6976744186047,22.9946524064171,28.4246575342466,1.57068062827225,-0.848563968668407,44.7831184056272
"2016-12-23",-7.08382526564345,-1.68918918918919,2.71739130434783,417.921181205008,70.6185567010309,-19.76401179941,-33.086876155268,-62.2525249231911,-19.2200557103064,NA,-11.4989733059548,38.7931034482759,-45.5737704918033,15.4619435136429,575.833338370239,2.02702702702703,-25,-25,18.75,-10.3975535168196,-25.9574468085106,44.0637932017252,-10.25,6,-15.6976744186047,20.4301075268817,26.3698630136986,0,-1.94174757281553,47.1277842907386
