"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-06_to_2022-12-01_Index_3QRank","-79.175","-45"
"2021-08-06_to_2022-12-01_Crypto10_Index","-85.498","-73.301"
"Volatility",,
"2021-08-06_to_2022-12-01_Index_3QRank","81.2","76.68"
"2021-08-06_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-06_to_2022-12-01_Index_3QRank","42.13","38.99"
"2021-08-06_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-06_to_2022-12-01_Index_3QRank","0.15","0.73"
"2021-08-06_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-06_to_2022-12-01_Index_3QRank","0.18","2.77"
"2021-08-06_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-06_to_2022-12-01_Index_3QRank","0.84","0.85"
"2021-08-06_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-06_to_2022-12-01_Index_3QRank","73.32","74.68"
"2021-08-06_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-06_to_2022-12-01_Index_3QRank","-82.3992","-83.5268"
"2021-08-06_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
