"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-02_to_2022-12-01_Index_3QRank","-73.769","-60.043"
"2021-10-02_to_2022-12-01_Crypto10_Index","-85.498","-78.631"
"Volatility",,
"2021-10-02_to_2022-12-01_Index_3QRank","74.93","70.03"
"2021-10-02_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-02_to_2022-12-01_Index_3QRank","45.73","43.17"
"2021-10-02_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-02_to_2022-12-01_Index_3QRank","0.26","0.43"
"2021-10-02_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-02_to_2022-12-01_Index_3QRank","0.34","1.52"
"2021-10-02_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-02_to_2022-12-01_Index_3QRank","0.75","0.74"
"2021-10-02_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-02_to_2022-12-01_Index_3QRank","67.77","67.52"
"2021-10-02_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-02_to_2022-12-01_Index_3QRank","-79.4979","-80.639"
"2021-10-02_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
