"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-03_to_2022-12-01_Index_3QRank","-74.466","-63.547"
"2021-09-03_to_2022-12-01_Crypto10_Index","-85.498","-82.277"
"Volatility",,
"2021-09-03_to_2022-12-01_Index_3QRank","74.93","74.1"
"2021-09-03_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-03_to_2022-12-01_Index_3QRank","45.72","41.22"
"2021-09-03_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-03_to_2022-12-01_Index_3QRank","0.24","0.45"
"2021-09-03_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-03_to_2022-12-01_Index_3QRank","0.25","2.07"
"2021-09-03_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-03_to_2022-12-01_Index_3QRank","0.75","0.79"
"2021-09-03_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-03_to_2022-12-01_Index_3QRank","67.79","72.54"
"2021-09-03_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-03_to_2022-12-01_Index_3QRank","-80.426","-82.2743"
"2021-09-03_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
