"","2022-01-2022-12"
"Annualized Returns",
"2022-01-20_to_2022-12-01_Index_3QRank","-70.829"
"2022-01-20_to_2022-12-01_Crypto10_Index","-84.236"
"Volatility",
"2022-01-20_to_2022-12-01_Index_3QRank","75.45"
"2022-01-20_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-20_to_2022-12-01_Index_3QRank","44.99"
"2022-01-20_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-20_to_2022-12-01_Index_3QRank","0.3"
"2022-01-20_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-20_to_2022-12-01_Index_3QRank","1.75"
"2022-01-20_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-20_to_2022-12-01_Index_3QRank","0.73"
"2022-01-20_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-20_to_2022-12-01_Index_3QRank","71.21"
"2022-01-20_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-20_to_2022-12-01_Index_3QRank","-72.7374"
"2022-01-20_to_2022-12-01_Crypto10_Index","-81.2244"
