"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-27_to_2022-12-01_Index_3QRank","-75.537","-58.067"
"2021-09-27_to_2022-12-01_Crypto10_Index","-85.498","-78.872"
"Volatility",,
"2021-09-27_to_2022-12-01_Index_3QRank","81.52","79.98"
"2021-09-27_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-27_to_2022-12-01_Index_3QRank","45.17","41"
"2021-09-27_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-27_to_2022-12-01_Index_3QRank","0.22","0.51"
"2021-09-27_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-27_to_2022-12-01_Index_3QRank","1.14","3.23"
"2021-09-27_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-27_to_2022-12-01_Index_3QRank","0.82","0.85"
"2021-09-27_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-27_to_2022-12-01_Index_3QRank","69.71","73.92"
"2021-09-27_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-27_to_2022-12-01_Index_3QRank","-81.3785","-82.5323"
"2021-09-27_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
