"","2022-01-2022-12"
"Annualized Returns",
"2022-01-11_to_2022-12-01_Index_3QRank","-72.164"
"2022-01-11_to_2022-12-01_Crypto10_Index","-84.993"
"Volatility",
"2022-01-11_to_2022-12-01_Index_3QRank","74.61"
"2022-01-11_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-11_to_2022-12-01_Index_3QRank","46.1"
"2022-01-11_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-11_to_2022-12-01_Index_3QRank","0.28"
"2022-01-11_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-11_to_2022-12-01_Index_3QRank","1.65"
"2022-01-11_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-11_to_2022-12-01_Index_3QRank","0.72"
"2022-01-11_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-11_to_2022-12-01_Index_3QRank","69.78"
"2022-01-11_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-11_to_2022-12-01_Index_3QRank","-75.3559"
"2022-01-11_to_2022-12-01_Crypto10_Index","-82.5191"
