"","2022-02-2022-12"
"Annualized Returns",
"2022-02-03_to_2022-12-01_Index_3QRank","-65.173"
"2022-02-03_to_2022-12-01_Crypto10_Index","-82.707"
"Volatility",
"2022-02-03_to_2022-12-01_Index_3QRank","78.8"
"2022-02-03_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-03_to_2022-12-01_Index_3QRank","47.46"
"2022-02-03_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-03_to_2022-12-01_Index_3QRank","0.37"
"2022-02-03_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-03_to_2022-12-01_Index_3QRank","1.22"
"2022-02-03_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-03_to_2022-12-01_Index_3QRank","0.73"
"2022-02-03_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-03_to_2022-12-01_Index_3QRank","70.41"
"2022-02-03_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-03_to_2022-12-01_Index_3QRank","-72.7561"
"2022-02-03_to_2022-12-01_Crypto10_Index","-81.2244"
