"","2022-03-2022-12"
"Annualized Returns",
"2022-03-23_to_2022-12-01_Index_3QRank","-78.895"
"2022-03-23_to_2022-12-01_Crypto10_Index","-87.699"
"Volatility",
"2022-03-23_to_2022-12-01_Index_3QRank","79.77"
"2022-03-23_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-23_to_2022-12-01_Index_3QRank","39.95"
"2022-03-23_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-23_to_2022-12-01_Index_3QRank","0.22"
"2022-03-23_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-23_to_2022-12-01_Index_3QRank","-1.02"
"2022-03-23_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-23_to_2022-12-01_Index_3QRank","0.75"
"2022-03-23_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-23_to_2022-12-01_Index_3QRank","81.83"
"2022-03-23_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-23_to_2022-12-01_Index_3QRank","-74.6312"
"2022-03-23_to_2022-12-01_Crypto10_Index","-79.9416"
