"","2022-03-2022-12"
"Annualized Returns",
"2022-03-20_to_2022-12-01_Index_3QRank","-78.376"
"2022-03-20_to_2022-12-01_Crypto10_Index","-87.723"
"Volatility",
"2022-03-20_to_2022-12-01_Index_3QRank","75.14"
"2022-03-20_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-20_to_2022-12-01_Index_3QRank","38.37"
"2022-03-20_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-20_to_2022-12-01_Index_3QRank","0.24"
"2022-03-20_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-20_to_2022-12-01_Index_3QRank","-2.66"
"2022-03-20_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-20_to_2022-12-01_Index_3QRank","0.72"
"2022-03-20_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-20_to_2022-12-01_Index_3QRank","85.35"
"2022-03-20_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-20_to_2022-12-01_Index_3QRank","-75.7353"
"2022-03-20_to_2022-12-01_Crypto10_Index","-79.9416"
