"","2022-01-2022-12"
"Annualized Returns",
"2022-01-17_to_2022-12-01_Index_3QRank","-74.202"
"2022-01-17_to_2022-12-01_Crypto10_Index","-85.219"
"Volatility",
"2022-01-17_to_2022-12-01_Index_3QRank","75.92"
"2022-01-17_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-17_to_2022-12-01_Index_3QRank","44.34"
"2022-01-17_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-17_to_2022-12-01_Index_3QRank","0.25"
"2022-01-17_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-17_to_2022-12-01_Index_3QRank","1.79"
"2022-01-17_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-17_to_2022-12-01_Index_3QRank","0.74"
"2022-01-17_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-17_to_2022-12-01_Index_3QRank","72.04"
"2022-01-17_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-17_to_2022-12-01_Index_3QRank","-74.9354"
"2022-01-17_to_2022-12-01_Crypto10_Index","-81.68"
