"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-18_to_2022-12-01_Index_3QRank","-75.863","-63.792"
"2021-09-18_to_2022-12-01_Crypto10_Index","-85.498","-82.132"
"Volatility",,
"2021-09-18_to_2022-12-01_Index_3QRank","81.81","80.13"
"2021-09-18_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-18_to_2022-12-01_Index_3QRank","45.04","41.06"
"2021-09-18_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-18_to_2022-12-01_Index_3QRank","0.21","0.45"
"2021-09-18_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-18_to_2022-12-01_Index_3QRank","1.1","3.21"
"2021-09-18_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-18_to_2022-12-01_Index_3QRank","0.83","0.86"
"2021-09-18_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-18_to_2022-12-01_Index_3QRank","69.95","73.88"
"2021-09-18_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-18_to_2022-12-01_Index_3QRank","-81.5073","-82.519"
"2021-09-18_to_2022-12-01_Crypto10_Index","-85.9481","-87.7888"
