"","2022-02-2022-12"
"Annualized Returns",
"2022-02-12_to_2022-12-01_Index_3QRank","-72.601"
"2022-02-12_to_2022-12-01_Crypto10_Index","-85.097"
"Volatility",
"2022-02-12_to_2022-12-01_Index_3QRank","81.73"
"2022-02-12_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-12_to_2022-12-01_Index_3QRank","41.17"
"2022-02-12_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-12_to_2022-12-01_Index_3QRank","0.3"
"2022-02-12_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-12_to_2022-12-01_Index_3QRank","1.26"
"2022-02-12_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-12_to_2022-12-01_Index_3QRank","0.79"
"2022-02-12_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-12_to_2022-12-01_Index_3QRank","77.75"
"2022-02-12_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-12_to_2022-12-01_Index_3QRank","-73.5666"
"2022-02-12_to_2022-12-01_Crypto10_Index","-80.4106"
