"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-12_to_2022-12-01_Index_3QRank","-74.757","-64.487"
"2021-10-12_to_2022-12-01_Crypto10_Index","-85.498","-81.67"
"Volatility",,
"2021-10-12_to_2022-12-01_Index_3QRank","77.36","71.18"
"2021-10-12_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-12_to_2022-12-01_Index_3QRank","46.04","43.06"
"2021-10-12_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-12_to_2022-12-01_Index_3QRank","0.23","0.4"
"2021-10-12_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-12_to_2022-12-01_Index_3QRank","0.53","1.07"
"2021-10-12_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-12_to_2022-12-01_Index_3QRank","0.77","0.76"
"2021-10-12_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-12_to_2022-12-01_Index_3QRank","67.7","67.85"
"2021-10-12_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-12_to_2022-12-01_Index_3QRank","-80.3356","-82.2909"
"2021-10-12_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
