"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-15_to_2022-12-01_Index_3QRank","-79.065","-55.452"
"2021-08-15_to_2022-12-01_Crypto10_Index","-85.498","-76.767"
"Volatility",,
"2021-08-15_to_2022-12-01_Index_3QRank","80.88","76.57"
"2021-08-15_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-15_to_2022-12-01_Index_3QRank","42.04","38.95"
"2021-08-15_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-15_to_2022-12-01_Index_3QRank","0.15","0.55"
"2021-08-15_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-15_to_2022-12-01_Index_3QRank","0.18","2.81"
"2021-08-15_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-15_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-08-15_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-15_to_2022-12-01_Index_3QRank","73.36","74.69"
"2021-08-15_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-15_to_2022-12-01_Index_3QRank","-82.329","-83.4595"
"2021-08-15_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
