"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-25_to_2022-12-01_Index_3QRank","-73.751","-70.422"
"2021-10-25_to_2022-12-01_Crypto10_Index","-85.498","-83.734"
"Volatility",,
"2021-10-25_to_2022-12-01_Index_3QRank","71.73","65.9"
"2021-10-25_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-25_to_2022-12-01_Index_3QRank","46.67","43.51"
"2021-10-25_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-25_to_2022-12-01_Index_3QRank","0.25","0.31"
"2021-10-25_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-25_to_2022-12-01_Index_3QRank","-0.12","0.17"
"2021-10-25_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-25_to_2022-12-01_Index_3QRank","0.71","0.7"
"2021-10-25_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-25_to_2022-12-01_Index_3QRank","66.25","66.72"
"2021-10-25_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-25_to_2022-12-01_Index_3QRank","-79.5099","-81.9872"
"2021-10-25_to_2022-12-01_Crypto10_Index","-85.948","-86.8893"
