"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-12_to_2022-12-01_Index_3QRank","-78.232","-32.696"
"2021-07-12_to_2022-12-01_Crypto10_Index","-85.498","-70.141"
"Volatility",,
"2021-07-12_to_2022-12-01_Index_3QRank","84.27","95.35"
"2021-07-12_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-12_to_2022-12-01_Index_3QRank","41.92","49.52"
"2021-07-12_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-12_to_2022-12-01_Index_3QRank","0.17","0.76"
"2021-07-12_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-12_to_2022-12-01_Index_3QRank","1.17","7.15"
"2021-07-12_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-12_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-12_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-12_to_2022-12-01_Index_3QRank","74.31","71.13"
"2021-07-12_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-12_to_2022-12-01_Index_3QRank","-82.4514","-83.6197"
"2021-07-12_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
